,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
0,0,-0.20875599087339886,2020-07-10 14:02:38.266004,2020-07-10 14:07:44.177817,0 days 00:05:05.911813000,0.8605912580463848,0.22977232786184393,COMPLETE
1,1,-0.269897735906388,2020-07-10 14:07:44.178521,2020-07-10 14:12:33.676495,0 days 00:04:49.497974000,0.14779875707787538,0.10352382257986381,COMPLETE
2,2,-0.283586578027437,2020-07-10 14:12:33.676995,2020-07-10 14:17:17.303778,0 days 00:04:43.626783000,0.022476774636426722,0.01107047586718013,COMPLETE
3,3,-0.20839094922638132,2020-07-10 14:17:17.304304,2020-07-10 14:22:04.438486,0 days 00:04:47.134182000,0.3522244392232481,0.42111921440652383,COMPLETE
4,4,-0.2564232550086589,2020-07-10 14:22:04.438997,2020-07-10 14:26:49.798065,0 days 00:04:45.359068000,0.22103475061836952,0.21759947562845017,COMPLETE
5,5,-0.2079877024305706,2020-07-10 14:26:49.798557,2020-07-10 14:31:49.335947,0 days 00:04:59.537390000,0.876656423856654,0.30665936908781893,COMPLETE
6,6,-0.20795102330130397,2020-07-10 14:31:49.336464,2020-07-10 14:36:40.853145,0 days 00:04:51.516681000,0.6909819006164402,0.3617065979720586,COMPLETE
7,7,-0.21705812381990403,2020-07-10 14:36:40.853641,2020-07-10 14:41:24.055537,0 days 00:04:43.201896000,0.16285508491311917,0.39818214835368126,COMPLETE
8,8,-0.26453378492685053,2020-07-10 14:41:24.056068,2020-07-10 14:46:13.995718,0 days 00:04:49.939650000,0.5193395486206654,0.07976561138396931,COMPLETE
9,9,-0.22130276394783593,2020-07-10 14:46:13.996238,2020-07-10 14:50:59.404733,0 days 00:04:45.408495000,0.11343001426945509,0.30238055821811416,COMPLETE
10,10,-0.2843706451965279,2020-07-10 14:50:59.405271,2020-07-10 14:55:50.001460,0 days 00:04:50.596189000,0.44263714450592423,0.004379540053612074,COMPLETE
11,11,-0.27891697514354846,2020-07-10 14:55:50.001964,2020-07-10 15:00:40.221869,0 days 00:04:50.219905000,0.4728587626797718,0.0012278968164569281,COMPLETE
12,12,-0.27192412834623253,2020-07-10 15:00:40.222371,2020-07-10 15:05:23.765392,0 days 00:04:43.543021000,0.027878062379646407,0.0024037243952714747,COMPLETE
13,13,-0.2654013996212809,2020-07-10 15:05:23.765888,2020-07-10 15:10:17.544220,0 days 00:04:53.778332000,0.6459749961680243,0.08640923263251082,COMPLETE
14,14,-0.26474741363209936,2020-07-10 15:10:17.544711,2020-07-10 15:15:03.039954,0 days 00:04:45.495243000,0.32027261798825046,0.16841654496050396,COMPLETE
15,15,-0.28419020867895267,2020-07-10 15:15:03.040454,2020-07-10 15:19:44.548558,0 days 00:04:41.508104000,0.018407119952717876,0.012069031414786439,COMPLETE
16,16,-0.1925107345945925,2020-07-10 15:19:44.549065,2020-07-10 15:24:57.897158,0 days 00:05:13.348093000,0.9980505944448068,0.48551395866863467,COMPLETE
17,17,-0.26499563943898435,2020-07-10 15:24:57.897667,2020-07-10 15:29:44.298924,0 days 00:04:46.401257000,0.3524532310621088,0.14180482344962236,COMPLETE
18,18,-0.26498225447888335,2020-07-10 15:29:44.299429,2020-07-10 15:34:34.074652,0 days 00:04:49.775223000,0.55027616978722,0.046250919308847734,COMPLETE
19,19,-0.21868336911177805,2020-07-10 15:34:34.075271,2020-07-10 15:39:28.498449,0 days 00:04:54.423178000,0.7367474165828657,0.16002717026527907,COMPLETE
