,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
0,0,-0.2640191594615185,2020-07-10 16:43:07.885418,2020-07-10 16:48:05.409663,0 days 00:04:57.524245000,0.21775565469664449,0.16152355900757503,COMPLETE
1,1,-0.2084289532548083,2020-07-10 16:48:05.413026,2020-07-10 16:53:03.280612,0 days 00:04:57.867586000,0.33607734173214765,0.4215428472542478,COMPLETE
2,2,-0.2177885853758131,2020-07-10 16:53:03.283691,2020-07-10 16:57:59.429188,0 days 00:04:56.145497000,0.24955413674746996,0.38896190793640034,COMPLETE
3,3,-0.23161986939770401,2020-07-10 16:57:59.432128,2020-07-10 17:02:50.243750,0 days 00:04:50.811622000,0.0008333133074877042,0.4313724941824465,COMPLETE
4,4,-0.20854780365403847,2020-07-10 17:02:50.246720,2020-07-10 17:07:56.759446,0 days 00:05:06.512726000,0.8110576632963657,0.2643680410570542,COMPLETE
5,5,-0.20810200488421737,2020-07-10 17:07:56.762055,2020-07-10 17:13:03.646864,0 days 00:05:06.884809000,0.7891782753146132,0.3200354156533157,COMPLETE
6,6,-0.21952637989949284,2020-07-10 17:13:03.649337,2020-07-10 17:18:00.101335,0 days 00:04:56.451998000,0.18237499995458528,0.2986816114816936,COMPLETE
7,7,-0.2079018571874305,2020-07-10 17:18:00.104067,2020-07-10 17:23:11.121859,0 days 00:05:11.017792000,0.8948813643441167,0.4727337287829857,COMPLETE
8,8,-0.2191390555097743,2020-07-10 17:23:11.124542,2020-07-10 17:28:09.585589,0 days 00:04:58.461047000,0.44956688782292653,0.25376684505673247,COMPLETE
9,9,-0.2564232550086589,2020-07-10 17:28:09.588299,2020-07-10 17:33:05.366748,0 days 00:04:55.778449000,0.24864627836372488,0.2152028134688842,COMPLETE
10,10,-0.264077842152472,2020-07-10 17:33:05.369042,2020-07-10 17:38:09.046745,0 days 00:05:03.677703000,0.6346397924577133,0.054265022269746194,COMPLETE
11,11,-0.26483608969842903,2020-07-10 17:38:09.049097,2020-07-10 17:43:14.128831,0 days 00:05:05.079734000,0.6117369856397965,0.0694476248402578,COMPLETE
12,12,-0.2858888302408861,2020-07-10 17:43:14.131441,2020-07-10 17:48:18.963362,0 days 00:05:04.831921000,0.6344082389600514,0.014701447358070996,COMPLETE
13,13,-0.2843237735614679,2020-07-10 17:48:18.965915,2020-07-10 17:53:22.986710,0 days 00:05:04.020795000,0.617391914660551,0.004227485397816116,COMPLETE
14,14,-0.22596077861242314,2020-07-10 17:53:22.989128,2020-07-10 17:58:27.043661,0 days 00:05:04.054533000,0.624399298577496,0.12111296101774427,COMPLETE
15,15,-0.28659280962460565,2020-07-10 17:58:27.046179,2020-07-10 18:04:06.463440,0 days 00:05:39.417261000,0.9822728807545678,0.006861032551114192,COMPLETE
16,16,-0.28277868243138077,2020-07-10 18:04:06.465993,2020-07-10 18:09:46.494422,0 days 00:05:40.028429000,0.9701528775302322,0.0011971706211956748,COMPLETE
17,17,-0.2203307692051633,2020-07-10 18:09:46.496905,2020-07-10 18:15:13.783611,0 days 00:05:27.286706000,0.9754005459476576,0.06468225879047713,COMPLETE
18,18,-0.21931302950657353,2020-07-10 18:15:13.785571,2020-07-10 18:20:21.354826,0 days 00:05:07.569255000,0.7552487681278897,0.13915497439782856,COMPLETE
19,19,-0.2858888302408861,2020-07-10 18:20:21.357286,2020-07-10 18:25:21.223020,0 days 00:04:59.865734000,0.47189584094817494,0.026485083534060316,COMPLETE
